/* DATA DESCRIPTION:
Citation:	WOCE Sea Surface Salinity, SSS (2005): Surface oceanographic data measured in the surface water of the Indian Ocean [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.314719
Related to:	WOCE (2002): World Ocean Circulation Experiment, Global Data, Version 3.0. WOCE International Project Office, WOCE Report, Southampton, UK; published by U.S. National Oceanographic Data Center, Silver Spring, 180/02, DVD-ROM
Project(s):	World Ocean Circulation Experiment (WOCE) (URI: https://en.wikipedia.org/wiki/World_Ocean_Circulation_Experiment)
Coverage:	MEDIAN LATITUDE: -1.218450 * MEDIAN LONGITUDE: 56.510606 * SOUTH-BOUND LATITUDE: -35.880000 * WEST-BOUND LONGITUDE: 20.500000 * NORTH-BOUND LATITUDE: 29.800000 * EAST-BOUND LONGITUDE: 127.960000
	DATE/TIME START: 1990-01-01T00:30:00 * DATE/TIME END: 1998-11-18T00:30:00
	MINIMUM DEPTH, water: 0 m * MAXIMUM DEPTH, water: 5 m
Event(s):	NODC_SSS_IndianOcean * DATE/TIME START: 1990-01-01T00:00:00 * DATE/TIME END: 1998-12-31T23:59:00 * METHOD/DEVICE: Thermosalinograph (TSG) * COMMENT: Position not given
Comment:	These data have been mainly collected on ships of opportunity (VOS). IRD has conducted this VOS network. Some other data have been retriewed from the NODC atlas (1998 onward).
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE
	LATITUDE (Latitude) * GEOCODE
	LONGITUDE (Longitude) * GEOCODE
	DEPTH, water [m] (Depth water) * GEOCODE
	Temperature, water [°C] (Temp)
	Salinity (Sal)
	Reference/source (Reference)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	30990 data points
*/
Date/Time	Latitude	Longitude	Depth water [m]	Temp [°C]	Sal	Reference
1990-01-01T00:30	-16.60	55.40	0	26.00	35.168	SIRD
1990-01-01T06:30	-18.20	55.40	0	27.00	35.156	SIRD
1990-01-01T12:30	-19.80	55.40	0	27.00	35.615	SIRD
1990-01-03T18:30	12.10	50.00	0	25.20	36.232	SIRD
1990-01-04T00:30	11.80	52.30	0	20.10	36.200	SIRD
1990-01-04T06:30	11.40	54.50	0	25.50	36.212	SIRD
1990-01-04T12:30	10.90	56.70	0	26.80	36.364	SIRD
1990-01-04T12:30	11.80	44.90	0	26.00	36.080	SIRD
1990-01-04T18:30	10.40	58.80	0	26.30	36.510	SIRD
1990-01-04T18:30	12.00	46.50	0	26.50	36.408	SIRD
1990-01-05T00:30	10.00	61.00	0	27.60	36.905	SIRD
1990-01-05T00:30	12.10	48.10	0	25.50	36.163	SIRD
1990-01-05T06:30	9.60	63.30	0	27.20	36.596	SIRD
1990-01-05T06:30	12.10	49.60	0	25.40	36.324	SIRD
1990-01-05T12:30	9.20	65.40	0	28.00	36.795	SIRD
1990-01-05T12:30	11.90	51.20	0	27.00	36.282	SIRD
1990-01-05T18:30	8.70	67.50	0	28.00	35.724	SIRD
1990-01-05T18:30	10.40	51.50	0	26.00	36.291	SIRD
1990-01-06T00:30	8.20	69.70	0	28.20	36.463	SIRD
1990-01-06T00:30	9.00	50.80	0	26.00	36.096	SIRD
1990-01-06T06:30	7.50	49.90	0	26.00	36.392	SIRD
1990-01-06T06:30	7.70	71.80	0	28.60	34.516	SIRD
1990-01-06T12:30	6.00	49.10	0	26.80	36.209	SIRD
1990-01-06T12:30	7.20	73.90	0	28.20	33.300	SIRD
1990-01-06T18:30	4.30	48.10	0	26.50	36.302	SIRD
1990-01-07T00:30	-20.00	53.20	0	28.00	35.360	SIRD
1990-01-07T00:30	3.00	47.10	0	26.50	35.782	SIRD
1990-01-07T00:30	6.10	76.00	0	27.70	33.427	SIRD
1990-01-07T06:30	-19.20	51.60	0	27.00	35.149	SIRD
1990-01-07T06:30	1.50	45.90	0	26.00	35.638	SIRD
1990-01-07T12:30	0.40	45.00	0	26.00	35.531	SIRD
1990-01-07T12:30	5.70	82.50	0	27.80	34.098	SIRD
1990-01-07T18:30	-0.90	43.90	0	26.00	35.512	SIRD
1990-01-07T18:30	5.70	84.50	0	27.50	34.403	SIRD
1990-01-08T00:30	-2.20	42.90	0	26.00	35.655	SIRD
1990-01-08T00:30	-2.00	41.90	0	27.30	35.730	CSIRO
1990-01-08T00:30	5.70	86.50	0	27.70	33.934	SIRD
1990-01-08T06:30	-3.70	41.90	0	27.20	35.776	SIRD
1990-01-08T06:30	6.80	88.50	0	28.00	33.743	SIRD
1990-01-08T12:30	-4.20	41.40	0	27.50	35.767	SIRD
1990-01-08T12:30	5.90	90.70	0	28.20	33.415	SIRD
1990-01-08T18:30	-5.20	40.70	0	28.00	35.488	SIRD
1990-01-08T18:30	6.00	92.80	0	27.90	34.562	SIRD
1990-01-09T00:30	-19.00	49.40	0	27.80	34.455	SIRD
1990-01-09T00:30	-6.40	39.80	0	27.50	35.380	SIRD
1990-01-09T00:30	6.10	94.90	0	28.00	34.192	SIRD
1990-01-09T06:30	-20.70	48.90	0	28.00	35.314	SIRD
1990-01-10T07:30	17.55	62.70	0	25.20	36.220	BNODC
1990-01-10T07:30	17.55	62.70	1	25.20	36.223	CNODC
1990-01-10T13:30	17.50	62.00	0	24.91	35.920	BNODC
1990-01-10T13:30	17.50	62.00	1	24.91	35.915	CNODC
1990-01-10T17:30	17.50	61.50	0	25.18	36.040	BNODC
1990-01-10T17:30	17.50	61.50	1	25.18	36.035	CNODC
1990-01-10T21:30	17.50	61.00	0	25.41	35.950	BNODC
1990-01-10T21:30	17.50	61.00	3	25.41	35.951	CNODC
1990-01-10T23:59	17.17	60.75	0	25.16	36.050	BNODC
1990-01-10T23:59	17.17	60.75	3	25.16	36.046	CNODC
1990-01-11T02:30	17.17	61.00	0	25.12	36.080	BNODC
1990-01-11T02:30	17.17	61.00	3	25.12	36.079	CNODC
1990-01-11T07:30	17.17	61.50	0	25.15	36.020	BNODC
1990-01-11T07:30	17.17	61.50	3	25.15	36.019	CNODC
1990-01-11T11:30	17.17	61.83	0	25.35	36.140	BNODC
1990-01-11T11:30	17.17	62.00	3	25.35	36.140	CNODC
1990-01-11T12:30	8.90	52.10	0	26.70	36.195	SIRD
1990-01-11T15:30	17.17	62.50	0	25.29	36.150	BNODC
